nivel1_code,nivel1_label_pt,nivel1_label_en,nivel2_code,nivel2_label_pt,nivel2_label_en,nivel3_code,nivel3_label_pt,nivel3_label_en,int_l2,int_l3,code_l2,code_l3,color
1,Cultivos,Cropland,1TCF,Cultivos arboreos agricolas,Tree crops,1TCF,Cultivos arboreos agricolas,Tree crops,1,1,11,111,brown light
1,Cultivos,Cropland,1FC,Cultivos nao arboreos,Field crops,1SCT,Plantacoes de arbustos (cha),Shrub Plantation (Tea),2,1,12,121,yellow
1,Cultivos,Cropland,1FC,Cultivos nao arboreos,Field crops,1FCR,Cultivado sequeiro,Rainfed field crops,2,2,12,122,yellow
1,Cultivos,Cropland,1FC,Cultivos nao arboreos,Field crops,1FCI,Cultivado irrigado,Irrigated field crops,2,3,12,123,yellow
1,Cultivos,Cropland,1FC,Cultivos nao arboreos,Field crops,3AC,Cultivo de arroz,Rice crop,2,4,12,124,yellow
1,Cultivos,Cropland,1CXF,Agricultura itinerante com areas de florestas abertas e fechadas,Shifting cultivation with open to closed forested areas,1CXF,Agricultura itinerante com areas de florestas abertas e fechadas,Shifting cultivation with open to closed forested areas,3,1,13,131,yellow
2,Florestas,Forest Land,1TCW,Plantacoes florestais,Forest Plantation,1TCW,Plantacoes florestais,Forest Plantation,1,1,21,211,light green
2,Florestas,Forest Land,2FXC,Florestas com areas de agricultura itinerante,Forest with shifting cultivation,2FXC,Florestas com areas de agricultura itinerante,Forest with shifting cultivation,2,1,22,221,light green
2,Florestas,Forest Land,2FE,Floresta (Semi-) sempreverde fechada,Broadleaved (Semi-) evergreen closed forest,2DEC,Floresta costeira densa,Coastal dense woody vegetation,3,1,23,231,purple
2,Florestas,Forest Land,2FE,Floresta (Semi-) sempreverde fechada,Broadleaved (Semi-) evergreen closed forest,4FF,Mangal denso,Mangrove dense,3,2,23,232,purple
2,Florestas,Forest Land,2FE,Floresta (Semi-) sempreverde fechada,Broadleaved (Semi-) evergreen closed forest,2FEA,Mecrusse denso,Mecrusse dense,3,3,23,233,purple
2,Florestas,Forest Land,2FE,Floresta (Semi-) sempreverde fechada,Broadleaved (Semi-) evergreen closed forest,2FEG,Floresta de galeria,Gallery forest,3,4,23,234,purple
2,Florestas,Forest Land,2FE,Floresta (Semi-) sempreverde fechada,Broadleaved (Semi-) evergreen closed forest,2FEM,Floresta (Semi-) sempreverde de montanha fechada,Closed broadleaved (Semi-) evergreen mountaineous forest,3,5,23,235,purple
2,Florestas,Forest Land,2FE,Floresta (Semi-) sempreverde fechada,Broadleaved (Semi-) evergreen closed forest,2FE,Floresta (Semi-) sempreverde fechada,Broadleaved (Semi-) evergreen closed forest,3,6,23,236,purple
2,Florestas,Forest Land,2FD,Floresta (Semi-) decidua fechada,Broadleaved (Semi-) deciduous closed forest,2FDB,Miombo denso,Miombo dense,4,1,24,241,dark green
2,Florestas,Forest Land,2FD,Floresta (Semi-) decidua fechada,Broadleaved (Semi-) deciduous closed forest,2FDC,Mopane denso,Mopane dense,4,2,24,242,dark green
